Episode,TotalReward,HighLevelReward,LowLevelReward,ActionEntropy
1,7,0,7,1.7858502864837646
2,9,1,9,1.7798855304718018
3,2,0,2,1.7817672491073608
4,4,1,4,1.7764339447021484
5,9,1,9,1.781880259513855
6,6,1,6,1.7847503423690796
7,7,0,7,1.785383701324463
8,9,1,9,1.78293776512146
9,-2,1,-2,1.7799136638641357
10,6,0,6,1.7827013731002808
11,6,1,6,1.7902737855911255
12,8,0,8,1.78617525100708
13,6,1,6,1.782882571220398
14,4,0,4,1.7844105958938599
15,9,0,9,1.7877440452575684
16,6,0,6,1.7842307090759277
17,6,1,6,1.7802777290344238
18,1,0,1,1.7786937952041626
19,7,1,7,1.7797155380249023
20,8,0,8,1.7804006338119507
21,7,0,7,1.779200792312622
22,7,1,7,1.7870841026306152
23,6,0,6,1.778486728668213
24,3,0,3,1.7850630283355713
25,8,0,8,1.7837756872177124
26,6,0,6,1.784874677658081
27,8,1,8,1.7829598188400269
28,4,1,4,1.7793231010437012
29,6,0,6,1.7870519161224365
30,6,1,6,1.783058762550354
31,9,0,9,1.7886340618133545
32,-2,1,-2,1.7735942602157593
33,5,1,5,1.776586890220642
34,4,0,4,1.7843855619430542
35,6,0,6,1.7829420566558838
36,6,1,6,1.7858073711395264
37,8,0,8,1.7859028577804565
38,5,1,5,1.7867969274520874
39,4,0,4,1.7822725772857666
40,2,1,2,1.7869430780410767
41,8,0,8,1.7818312644958496
42,-1,1,-1,1.7830491065979004
43,4,0,4,1.7885656356811523
44,7,0,7,1.7796038389205933
45,2,1,2,1.7812976837158203
46,2,0,2,1.772787094116211
47,10,0,10,1.780752420425415
48,9,0,9,1.7848913669586182
49,7,1,7,1.7837750911712646
50,7,1,7,1.7856521606445312
